geographic-area-name,population
"Baldwin County, Alabama",223234
"Calhoun County, Alabama",113605
"Cullman County, Alabama",83768
"DeKalb County, Alabama",71513
"Elmore County, Alabama",81209
"Etowah County, Alabama",102268
"Houston County, Alabama",105882
"Jefferson County, Alabama",658573
"Lauderdale County, Alabama",92729
"Lee County, Alabama",164542
"Limestone County, Alabama",98915
"Madison County, Alabama",372909
"Marshall County, Alabama",96774
"Mobile County, Alabama",413210
"Montgomery County, Alabama",226486
"Morgan County, Alabama",119679
"St. Clair County, Alabama",89512
"Shelby County, Alabama",217702
"Talladega County, Alabama",79978
"Tuscaloosa County, Alabama",209355
"Walker County, Alabama",63521
"Anchorage Municipality, Alaska",288000
"Fairbanks North Star Borough, Alaska",96849
"Matanuska-Susitna Borough, Alaska",108317
"Apache County, Arizona",71887
"Cochise County, Arizona",125922
"Coconino County, Arizona",143476
"Maricopa County, Arizona",4485414
"Mohave County, Arizona",212181
"Navajo County, Arizona",110924
"Pima County, Arizona",1047279
"Pinal County, Arizona",462789
"Yavapai County, Arizona",235099
"Yuma County, Arizona",213787
"Benton County, Arkansas",279141
"Craighead County, Arkansas",110332
"Faulkner County, Arkansas",126007
"Garland County, Arkansas",99386
"Jefferson County, Arkansas",66824
"Lonoke County, Arkansas",73309
"Pulaski County, Arkansas",391911
"Saline County, Arkansas",122437
"Sebastian County, Arkansas",127827
"Washington County, Arkansas",239187
"White County, Arkansas",78753
"Alameda County, California",1671329
"Butte County, California",219186
"Contra Costa County, California",1153526
"El Dorado County, California",192843
"Fresno County, California",999101
"Humboldt County, California",135558
"Imperial County, California",181215
"Kern County, California",900202
"Kings County, California",152940
"Lake County, California",64386
"Los Angeles County, California",10039107
"Madera County, California",157327
"Marin County, California",258826
"Mendocino County, California",86749
"Merced County, California",277680
"Monterey County, California",434061
"Napa County, California",137744
"Nevada County, California",99755
"Orange County, California",3175692
"Placer County, California",398329
"Riverside County, California",2470546
"Sacramento County, California",1552058
"San Bernardino County, California",2180085
"San Diego County, California",3338330
"San Francisco County, California",881549
"San Joaquin County, California",762148
"San Luis Obispo County, California",283111
"San Mateo County, California",766573
"Santa Barbara County, California",446499
"Santa Clara County, California",1927852
"Santa Cruz County, California",273213
"Shasta County, California",180080
"Solano County, California",447643
"Sonoma County, California",494336
"Stanislaus County, California",550660
"Sutter County, California",96971
"Tehama County, California",65084
"Tulare County, California",466195
"Ventura County, California",846006
"Yolo County, California",220500
"Yuba County, California",78668
"Adams County, Colorado",517421
"Arapahoe County, Colorado",656590
"Boulder County, Colorado",326196
"Broomfield County, Colorado",70465
"Denver County, Colorado",727211
"Douglas County, Colorado",351154
"El Paso County, Colorado",720403
"Jefferson County, Colorado",582881
"Larimer County, Colorado",356899
"Mesa County, Colorado",154210
"Pueblo County, Colorado",168424
"Weld County, Colorado",324492
"Fairfield County, Connecticut",943332
"Hartford County, Connecticut",891720
"Litchfield County, Connecticut",180333
"Middlesex County, Connecticut",162436
"New Haven County, Connecticut",854757
"New London County, Connecticut",265206
"Tolland County, Connecticut",150721
"Windham County, Connecticut",116782
"Kent County, Delaware",180786
"New Castle County, Delaware",558753
"Sussex County, Delaware",234225
"District of Columbia, District of Columbia",705749
"Alachua County, Florida",269043
"Bay County, Florida",174705
"Brevard County, Florida",601942
"Broward County, Florida",1952778
"Charlotte County, Florida",188910
"Citrus County, Florida",149657
"Clay County, Florida",219252
"Collier County, Florida",384902
"Columbia County, Florida",71686
"Duval County, Florida",957755
"Escambia County, Florida",318316
"Flagler County, Florida",115081
"Hernando County, Florida",193920
"Highlands County, Florida",106221
"Hillsborough County, Florida",1471968
"Indian River County, Florida",159923
"Lake County, Florida",367118
"Lee County, Florida",770577
"Leon County, Florida",293582
"Manatee County, Florida",403253
"Marion County, Florida",365579
"Martin County, Florida",161000
"Miami-Dade County, Florida",2716940
"Monroe County, Florida",74228
"Nassau County, Florida",88625
"Okaloosa County, Florida",210738
"Orange County, Florida",1393452
"Osceola County, Florida",375751
"Palm Beach County, Florida",1496770
"Pasco County, Florida",553947
"Pinellas County, Florida",974996
"Polk County, Florida",724777
"Putnam County, Florida",74521
"St. Johns County, Florida",264672
"St. Lucie County, Florida",328297
"Santa Rosa County, Florida",184313
"Sarasota County, Florida",433742
"Seminole County, Florida",471826
"Sumter County, Florida",132420
"Volusia County, Florida",553284
"Walton County, Florida",74071
"Barrow County, Georgia",83240
"Bartow County, Georgia",107738
"Bibb County, Georgia",153159
"Bulloch County, Georgia",79608
"Carroll County, Georgia",119992
"Catoosa County, Georgia",67580
"Chatham County, Georgia",289430
"Cherokee County, Georgia",258773
"Clarke County, Georgia",128331
"Clayton County, Georgia",292256
"Cobb County, Georgia",760141
"Columbia County, Georgia",156714
"Coweta County, Georgia",148509
"DeKalb County, Georgia",759297
"Dougherty County, Georgia",87956
"Douglas County, Georgia",146343
"Fayette County, Georgia",114421
"Floyd County, Georgia",98498
"Forsyth County, Georgia",244252
"Fulton County, Georgia",1063937
"Glynn County, Georgia",85292
"Gwinnett County, Georgia",936250
"Hall County, Georgia",204441
"Henry County, Georgia",234561
"Houston County, Georgia",157863
"Jackson County, Georgia",72977
"Lowndes County, Georgia",117406
"Muscogee County, Georgia",195769
"Newton County, Georgia",111744
"Paulding County, Georgia",168667
"Richmond County, Georgia",202518
"Rockdale County, Georgia",90896
"Spalding County, Georgia",66703
"Troup County, Georgia",69922
"Walker County, Georgia",69761
"Walton County, Georgia",94593
"Whitfield County, Georgia",104628
"Hawaii County, Hawaii",201513
"Honolulu County, Hawaii",974563
"Kauai County, Hawaii",72293
"Maui County, Hawaii",167488
"Ada County, Idaho",481587
"Bannock County, Idaho",87808
"Bonneville County, Idaho",119062
"Canyon County, Idaho",229849
"Kootenai County, Idaho",165697
"Twin Falls County, Idaho",86878
"Adams County, Illinois",65435
"Champaign County, Illinois",209689
"Cook County, Illinois",5150233
"DeKalb County, Illinois",104897
"DuPage County, Illinois",922921
"Kane County, Illinois",532403
"Kankakee County, Illinois",109862
"Kendall County, Illinois",128990
"Lake County, Illinois",696535
"LaSalle County, Illinois",108669
"McHenry County, Illinois",307774
"McLean County, Illinois",171517
"Macon County, Illinois",104009
"Madison County, Illinois",262966
"Peoria County, Illinois",179179
"Rock Island County, Illinois",141879
"St. Clair County, Illinois",259686
"Sangamon County, Illinois",194672
"Tazewell County, Illinois",131803
"Vermilion County, Illinois",75758
"Will County, Illinois",690743
"Williamson County, Illinois",66597
"Winnebago County, Illinois",282572
"Allen County, Indiana",379299
"Bartholomew County, Indiana",83779
"Boone County, Indiana",67843
"Clark County, Indiana",118302
"Delaware County, Indiana",114135
"Elkhart County, Indiana",206341
"Floyd County, Indiana",78522
"Grant County, Indiana",65769
"Hamilton County, Indiana",338011
"Hancock County, Indiana",78168
"Hendricks County, Indiana",170311
"Howard County, Indiana",82544
"Johnson County, Indiana",158167
"Kosciusko County, Indiana",79456
"Lake County, Indiana",485493
"LaPorte County, Indiana",109888
"Madison County, Indiana",129569
"Marion County, Indiana",964582
"Monroe County, Indiana",148431
"Morgan County, Indiana",70489
"Porter County, Indiana",170389
"St. Joseph County, Indiana",271826
"Tippecanoe County, Indiana",195732
"Vanderburgh County, Indiana",181451
"Vigo County, Indiana",107038
"Wayne County, Indiana",65884
"Black Hawk County, Iowa",131228
"Dallas County, Iowa",93453
"Dubuque County, Iowa",97311
"Johnson County, Iowa",151140
"Linn County, Iowa",226706
"Polk County, Iowa",490161
"Pottawattamie County, Iowa",93206
"Scott County, Iowa",172943
"Story County, Iowa",97117
"Woodbury County, Iowa",103107
"Butler County, Kansas",66911
"Douglas County, Kansas",122259
"Johnson County, Kansas",602401
"Leavenworth County, Kansas",81758
"Riley County, Kansas",74232
"Sedgwick County, Kansas",516042
"Shawnee County, Kansas",176875
"Wyandotte County, Kansas",165429
"Boone County, Kentucky",133581
"Bullitt County, Kentucky",81676
"Campbell County, Kentucky",93584
"Christian County, Kentucky",70461
"Daviess County, Kentucky",101511
"Fayette County, Kentucky",323152
"Hardin County, Kentucky",110958
"Jefferson County, Kentucky",766757
"Kenton County, Kentucky",166998
"McCracken County, Kentucky",65418
"Madison County, Kentucky",92987
"Oldham County, Kentucky",66799
"Warren County, Kentucky",132896
"Ascension Parish, Louisiana",126604
"Bossier Parish, Louisiana",127039
"Caddo Parish, Louisiana",240204
"Calcasieu Parish, Louisiana",203436
"East Baton Rouge Parish, Louisiana",440059
"Iberia Parish, Louisiana",69830
"Jefferson Parish, Louisiana",432493
"Lafayette Parish, Louisiana",244390
"Lafourche Parish, Louisiana",97614
"Livingston Parish, Louisiana",140789
"Orleans Parish, Louisiana",390144
"Ouachita Parish, Louisiana",153279
"Rapides Parish, Louisiana",129648
"St. Landry Parish, Louisiana",82124
"St. Tammany Parish, Louisiana",260419
"Tangipahoa Parish, Louisiana",134758
"Terrebonne Parish, Louisiana",110461
"Androscoggin County, Maine",108277
"Aroostook County, Maine",67055
"Cumberland County, Maine",295003
"Kennebec County, Maine",122302
"Penobscot County, Maine",152148
"York County, Maine",207641
"Allegany County, Maryland",70416
"Anne Arundel County, Maryland",579234
"Baltimore County, Maryland",827370
"Calvert County, Maryland",92525
"Carroll County, Maryland",168447
"Cecil County, Maryland",102855
"Charles County, Maryland",163257
"Frederick County, Maryland",259547
"Harford County, Maryland",255441
"Howard County, Maryland",325690
"Montgomery County, Maryland",1050688
"Prince George's County, Maryland",909327
"St. Mary's County, Maryland",113510
"Washington County, Maryland",151049
"Wicomico County, Maryland",103609
"Baltimore city, Maryland",593490
"Barnstable County, Massachusetts",212990
"Berkshire County, Massachusetts",124944
"Bristol County, Massachusetts",565217
"Essex County, Massachusetts",789034
"Franklin County, Massachusetts",70180
"Hampden County, Massachusetts",466372
"Hampshire County, Massachusetts",160830
"Middlesex County, Massachusetts",1611699
"Norfolk County, Massachusetts",706775
"Plymouth County, Massachusetts",521202
"Suffolk County, Massachusetts",803907
"Worcester County, Massachusetts",830622
"Allegan County, Michigan",118081
"Bay County, Michigan",103126
"Berrien County, Michigan",153401
"Calhoun County, Michigan",134159
"Clinton County, Michigan",79595
"Eaton County, Michigan",110268
"Genesee County, Michigan",405813
"Grand Traverse County, Michigan",93088
"Ingham County, Michigan",292406
"Isabella County, Michigan",69872
"Jackson County, Michigan",158510
"Kalamazoo County, Michigan",265066
"Kent County, Michigan",656955
"Lapeer County, Michigan",87607
"Lenawee County, Michigan",98451
"Livingston County, Michigan",191995
"Macomb County, Michigan",873972
"Marquette County, Michigan",66699
"Midland County, Michigan",83156
"Monroe County, Michigan",150500
"Muskegon County, Michigan",173566
"Oakland County, Michigan",1257584
"Ottawa County, Michigan",291830
"Saginaw County, Michigan",190539
"St. Clair County, Michigan",159128
"Shiawassee County, Michigan",68122
"Van Buren County, Michigan",75677
"Washtenaw County, Michigan",367601
"Wayne County, Michigan",1749343
"Anoka County, Minnesota",356921
"Blue Earth County, Minnesota",67653
"Carver County, Minnesota",105089
"Crow Wing County, Minnesota",65055
"Dakota County, Minnesota",429021
"Hennepin County, Minnesota",1265843
"Olmsted County, Minnesota",158293
"Ramsey County, Minnesota",550321
"Rice County, Minnesota",66972
"St. Louis County, Minnesota",199070
"Scott County, Minnesota",149013
"Sherburne County, Minnesota",97238
"Stearns County, Minnesota",161075
"Washington County, Minnesota",262440
"Wright County, Minnesota",138377
"DeSoto County, Mississippi",184945
"Forrest County, Mississippi",74897
"Harrison County, Mississippi",208080
"Hinds County, Mississippi",231840
"Jackson County, Mississippi",143617
"Jones County, Mississippi",68098
"Lauderdale County, Mississippi",74125
"Lee County, Mississippi",85436
"Madison County, Mississippi",106272
"Rankin County, Mississippi",155271
"Boone County, Missouri",180463
"Buchanan County, Missouri",87364
"Cape Girardeau County, Missouri",78871
"Cass County, Missouri",105780
"Christian County, Missouri",88595
"Clay County, Missouri",249948
"Cole County, Missouri",76745
"Franklin County, Missouri",103967
"Greene County, Missouri",293086
"Jackson County, Missouri",703011
"Jasper County, Missouri",121328
"Jefferson County, Missouri",225081
"Platte County, Missouri",104418
"St. Charles County, Missouri",402022
"St. Francois County, Missouri",67215
"St. Louis County, Missouri",994205
"St. Louis city, Missouri",300576
"Cascade County, Montana",81366
"Flathead County, Montana",103806
"Gallatin County, Montana",114434
"Lewis and Clark County, Montana",69432
"Missoula County, Montana",119600
"Yellowstone County, Montana",161300
"Douglas County, Nebraska",571327
"Lancaster County, Nebraska",319090
"Sarpy County, Nebraska",187196
"Clark County, Nevada",2266715
"Washoe County, Nevada",471519
"Cheshire County, New Hampshire",76085
"Grafton County, New Hampshire",89886
"Hillsborough County, New Hampshire",417025
"Merrimack County, New Hampshire",151391
"Rockingham County, New Hampshire",309769
"Strafford County, New Hampshire",130633
"Atlantic County, New Jersey",263670
"Bergen County, New Jersey",932202
"Burlington County, New Jersey",445349
"Camden County, New Jersey",506471
"Cape May County, New Jersey",92039
"Cumberland County, New Jersey",149527
"Essex County, New Jersey",798975
"Gloucester County, New Jersey",291636
"Hudson County, New Jersey",672391
"Hunterdon County, New Jersey",124371
"Mercer County, New Jersey",367430
"Middlesex County, New Jersey",825062
"Monmouth County, New Jersey",618795
"Morris County, New Jersey",491845
"Ocean County, New Jersey",607186
"Passaic County, New Jersey",501826
"Salem County, New Jersey",62385
"Somerset County, New Jersey",328934
"Sussex County, New Jersey",140488
"Union County, New Jersey",556341
"Warren County, New Jersey",105267
"Bernalillo County, New Mexico",679121
"Chaves County, New Mexico",64615
"DoÃ±a Ana County, New Mexico",218195
"Lea County, New Mexico",71070
"McKinley County, New Mexico",71367
"Otero County, New Mexico",67490
"Sandoval County, New Mexico",146748
"San Juan County, New Mexico",123958
"Santa Fe County, New Mexico",150358
"Valencia County, New Mexico",76688
"Albany County, New York",305506
"Bronx County, New York",1418207
"Broome County, New York",190488
"Cattaraugus County, New York",76117
"Cayuga County, New York",76576
"Chautauqua County, New York",126903
"Chemung County, New York",83456
"Clinton County, New York",80485
"Dutchess County, New York",294218
"Erie County, New York",918702
"Jefferson County, New York",109834
"Kings County, New York",2559903
"Livingston County, New York",62914
"Madison County, New York",70941
"Monroe County, New York",741770
"Nassau County, New York",1356924
"New York County, New York",1628706
"Niagara County, New York",209281
"Oneida County, New York",228671
"Onondaga County, New York",460528
"Ontario County, New York",109777
"Orange County, New York",384940
"Oswego County, New York",117124
"Putnam County, New York",98320
"Queens County, New York",2253858
"Rensselaer County, New York",158714
"Richmond County, New York",476143
"Rockland County, New York",325789
"St. Lawrence County, New York",107740
"Saratoga County, New York",229863
"Schenectady County, New York",155299
"Steuben County, New York",95379
"Suffolk County, New York",1476601
"Sullivan County, New York",75432
"Tompkins County, New York",102180
"Ulster County, New York",177573
"Warren County, New York",63944
"Wayne County, New York",89918
"Westchester County, New York",967506
"Alamance County, North Carolina",169509
"Brunswick County, North Carolina",142820
"Buncombe County, North Carolina",261191
"Burke County, North Carolina",90485
"Cabarrus County, North Carolina",216453
"Caldwell County, North Carolina",82178
"Carteret County, North Carolina",69473
"Catawba County, North Carolina",159551
"Chatham County, North Carolina",74470
"Cleveland County, North Carolina",97947
"Craven County, North Carolina",102139
"Cumberland County, North Carolina",335509
"Davidson County, North Carolina",167609
"Durham County, North Carolina",321488
"Forsyth County, North Carolina",382295
"Franklin County, North Carolina",69685
"Gaston County, North Carolina",224529
"Guilford County, North Carolina",537174
"Harnett County, North Carolina",135976
"Henderson County, North Carolina",117417
"Iredell County, North Carolina",181806
"Johnston County, North Carolina",209339
"Lincoln County, North Carolina",86111
"Mecklenburg County, North Carolina",1110356
"Moore County, North Carolina",100880
"Nash County, North Carolina",94298
"New Hanover County, North Carolina",234473
"Onslow County, North Carolina",197938
"Orange County, North Carolina",148476
"Pitt County, North Carolina",180742
"Randolph County, North Carolina",143667
"Robeson County, North Carolina",130625
"Rockingham County, North Carolina",91010
"Rowan County, North Carolina",142088
"Rutherford County, North Carolina",67029
"Surry County, North Carolina",71783
"Union County, North Carolina",239859
"Wake County, North Carolina",1111761
"Wayne County, North Carolina",123131
"Wilkes County, North Carolina",68412
"Wilson County, North Carolina",81801
"Burleigh County, North Dakota",95626
"Cass County, North Dakota",181923
"Grand Forks County, North Dakota",69451
"Ward County, North Dakota",67641
"Allen County, Ohio",102351
"Ashtabula County, Ohio",97241
"Athens County, Ohio",65327
"Belmont County, Ohio",67006
"Butler County, Ohio",383134
"Clark County, Ohio",134083
"Clermont County, Ohio",206428
"Columbiana County, Ohio",101883
"Cuyahoga County, Ohio",1235072
"Delaware County, Ohio",209177
"Erie County, Ohio",74266
"Fairfield County, Ohio",157574
"Franklin County, Ohio",1316756
"Geauga County, Ohio",93649
"Greene County, Ohio",168937
"Hamilton County, Ohio",817473
"Hancock County, Ohio",75783
"Jefferson County, Ohio",65325
"Lake County, Ohio",230149
"Licking County, Ohio",176862
"Lorain County, Ohio",309833
"Lucas County, Ohio",428348
"Mahoning County, Ohio",228683
"Marion County, Ohio",65093
"Medina County, Ohio",179746
"Miami County, Ohio",106987
"Montgomery County, Ohio",531687
"Muskingum County, Ohio",86215
"Portage County, Ohio",162466
"Richland County, Ohio",121154
"Ross County, Ohio",76666
"Scioto County, Ohio",75314
"Stark County, Ohio",370606
"Summit County, Ohio",541013
"Trumbull County, Ohio",197974
"Tuscarawas County, Ohio",91987
"Warren County, Ohio",234602
"Wayne County, Ohio",115710
"Wood County, Ohio",130817
"Canadian County, Oklahoma",148306
"Cleveland County, Oklahoma",284014
"Comanche County, Oklahoma",120749
"Creek County, Oklahoma",71522
"Muskogee County, Oklahoma",67997
"Oklahoma County, Oklahoma",797434
"Payne County, Oklahoma",81784
"Pottawatomie County, Oklahoma",72592
"Rogers County, Oklahoma",92459
"Tulsa County, Oklahoma",651552
"Wagoner County, Oklahoma",81289
"Benton County, Oregon",93053
"Clackamas County, Oregon",418187
"Deschutes County, Oregon",197692
"Douglas County, Oregon",110980
"Jackson County, Oregon",220944
"Josephine County, Oregon",87487
"Klamath County, Oregon",68238
"Lane County, Oregon",382067
"Linn County, Oregon",129749
"Marion County, Oregon",347818
"Multnomah County, Oregon",812855
"Polk County, Oregon",86085
"Umatilla County, Oregon",77950
"Washington County, Oregon",601592
"Yamhill County, Oregon",107100
"Adams County, Pennsylvania",103009
"Allegheny County, Pennsylvania",1216045
"Armstrong County, Pennsylvania",64735
"Beaver County, Pennsylvania",163929
"Berks County, Pennsylvania",421164
"Blair County, Pennsylvania",121829
"Bucks County, Pennsylvania",628270
"Butler County, Pennsylvania",187853
"Cambria County, Pennsylvania",130192
"Carbon County, Pennsylvania",64182
"Centre County, Pennsylvania",162385
"Chester County, Pennsylvania",524989
"Clearfield County, Pennsylvania",79255
"Columbia County, Pennsylvania",64964
"Crawford County, Pennsylvania",84629
"Cumberland County, Pennsylvania",253370
"Dauphin County, Pennsylvania",278299
"Delaware County, Pennsylvania",566747
"Erie County, Pennsylvania",269728
"Fayette County, Pennsylvania",129274
"Franklin County, Pennsylvania",155027
"Indiana County, Pennsylvania",84073
"Lackawanna County, Pennsylvania",209674
"Lancaster County, Pennsylvania",545724
"Lawrence County, Pennsylvania",85512
"Lebanon County, Pennsylvania",141793
"Lehigh County, Pennsylvania",369318
"Luzerne County, Pennsylvania",317417
"Lycoming County, Pennsylvania",113299
"Mercer County, Pennsylvania",109424
"Monroe County, Pennsylvania",170271
"Montgomery County, Pennsylvania",830915
"Northampton County, Pennsylvania",305285
"Northumberland County, Pennsylvania",90843
"Philadelphia County, Pennsylvania",1584064
"Schuylkill County, Pennsylvania",141359
"Somerset County, Pennsylvania",73447
"Washington County, Pennsylvania",206865
"Westmoreland County, Pennsylvania",348899
"York County, Pennsylvania",449058
"Kent County, Rhode Island",164292
"Newport County, Rhode Island",82082
"Providence County, Rhode Island",638931
"Washington County, Rhode Island",125577
"Aiken County, South Carolina",170872
"Anderson County, South Carolina",202558
"Beaufort County, South Carolina",192122
"Berkeley County, South Carolina",227907
"Charleston County, South Carolina",411406
"Darlington County, South Carolina",66618
"Dorchester County, South Carolina",162809
"Florence County, South Carolina",138293
"Greenville County, South Carolina",523542
"Greenwood County, South Carolina",70811
"Horry County, South Carolina",354081
"Kershaw County, South Carolina",66551
"Lancaster County, South Carolina",98012
"Laurens County, South Carolina",67493
"Lexington County, South Carolina",298750
"Oconee County, South Carolina",79546
"Orangeburg County, South Carolina",86175
"Pickens County, South Carolina",126884
"Richland County, South Carolina",415759
"Spartanburg County, South Carolina",319785
"Sumter County, South Carolina",106721
"York County, South Carolina",280979
"Minnehaha County, South Dakota",193134
"Pennington County, South Dakota",113775
"Anderson County, Tennessee",76978
"Blount County, Tennessee",133088
"Bradley County, Tennessee",108110
"Davidson County, Tennessee",694144
"Greene County, Tennessee",69069
"Hamilton County, Tennessee",367804
"Knox County, Tennessee",470313
"Madison County, Tennessee",97984
"Maury County, Tennessee",96387
"Montgomery County, Tennessee",208993
"Putnam County, Tennessee",80245
"Robertson County, Tennessee",71813
"Rutherford County, Tennessee",332285
"Sevier County, Tennessee",98250
"Shelby County, Tennessee",937166
"Sullivan County, Tennessee",158348
"Sumner County, Tennessee",191283
"Washington County, Tennessee",129375
"Williamson County, Tennessee",238412
"Wilson County, Tennessee",144657
"Angelina County, Texas",86715
"Bastrop County, Texas",88723
"Bell County, Texas",362924
"Bexar County, Texas",2003554
"Bowie County, Texas",93245
"Brazoria County, Texas",374264
"Brazos County, Texas",229211
"Cameron County, Texas",423163
"Collin County, Texas",1034730
"Comal County, Texas",156209
"Coryell County, Texas",75951
"Dallas County, Texas",2635516
"Denton County, Texas",887207
"Ector County, Texas",166223
"Ellis County, Texas",184826
"El Paso County, Texas",839238
"Fort Bend County, Texas",811688
"Galveston County, Texas",342139
"Grayson County, Texas",136212
"Gregg County, Texas",123945
"Guadalupe County, Texas",166847
"Harris County, Texas",4713325
"Harrison County, Texas",66553
"Hays County, Texas",230191
"Henderson County, Texas",82737
"Hidalgo County, Texas",868707
"Hunt County, Texas",98594
"Jefferson County, Texas",251565
"Johnson County, Texas",175817
"Kaufman County, Texas",136154
"Liberty County, Texas",88219
"Lubbock County, Texas",310569
"McLennan County, Texas",256623
"Midland County, Texas",176832
"Montgomery County, Texas",607391
"Nacogdoches County, Texas",65204
"Nueces County, Texas",362294
"Orange County, Texas",83396
"Parker County, Texas",142878
"Potter County, Texas",117415
"Randall County, Texas",137713
"Rockwall County, Texas",104915
"San Patricio County, Texas",66730
"Smith County, Texas",232751
"Tarrant County, Texas",2102515
"Taylor County, Texas",138034
"Tom Green County, Texas",119200
"Travis County, Texas",1273954
"Victoria County, Texas",92084
"Walker County, Texas",72971
"Webb County, Texas",276652
"Wichita County, Texas",132230
"Williamson County, Texas",590551
"Wise County, Texas",69984
"Cache County, Utah",128289
"Davis County, Utah",355481
"Salt Lake County, Utah",1160437
"Tooele County, Utah",72259
"Utah County, Utah",636235
"Washington County, Utah",177556
"Weber County, Utah",260213
"Chittenden County, Vermont",163774
"Albemarle County, Virginia",109330
"Arlington County, Virginia",236842
"Augusta County, Virginia",75558
"Bedford County, Virginia",78997
"Chesterfield County, Virginia",352802
"Fairfax County, Virginia",1147532
"Fauquier County, Virginia",71222
"Frederick County, Virginia",89313
"Hanover County, Virginia",107766
"Henrico County, Virginia",330818
"James City County, Virginia",76523
"Loudoun County, Virginia",413538
"Montgomery County, Virginia",98535
"Prince William County, Virginia",470335
"Roanoke County, Virginia",94186
"Rockingham County, Virginia",81948
"Spotsylvania County, Virginia",136215
"Stafford County, Virginia",152882
"York County, Virginia",68280
"Alexandria city, Virginia",159428
"Chesapeake city, Virginia",244835
"Hampton city, Virginia",134510
"Lynchburg city, Virginia",82168
"Newport News city, Virginia",179225
"Norfolk city, Virginia",242742
"Portsmouth city, Virginia",94398
"Richmond city, Virginia",230436
"Roanoke city, Virginia",99143
"Suffolk city, Virginia",92108
"Virginia Beach city, Virginia",449974
"Benton County, Washington",204390
"Chelan County, Washington",77200
"Clallam County, Washington",77331
"Clark County, Washington",488241
"Cowlitz County, Washington",110593
"Franklin County, Washington",95222
"Grant County, Washington",97733
"Grays Harbor County, Washington",75061
"Island County, Washington",85141
"King County, Washington",2252782
"Kitsap County, Washington",271473
"Lewis County, Washington",80707
"Mason County, Washington",66768
"Pierce County, Washington",904980
"Skagit County, Washington",129205
"Snohomish County, Washington",822083
"Spokane County, Washington",522798
"Thurston County, Washington",290536
"Whatcom County, Washington",229247
"Yakima County, Washington",250873
"Berkeley County, West Virginia",119171
"Cabell County, West Virginia",91945
"Harrison County, West Virginia",67256
"Kanawha County, West Virginia",178124
"Monongalia County, West Virginia",105612
"Raleigh County, West Virginia",73361
"Wood County, West Virginia",83518
"Brown County, Wisconsin",264542
"Dane County, Wisconsin",546695
"Dodge County, Wisconsin",87839
"Eau Claire County, Wisconsin",104646
"Fond du Lac County, Wisconsin",103403
"Jefferson County, Wisconsin",84769
"Kenosha County, Wisconsin",169561
"La Crosse County, Wisconsin",118016
"Manitowoc County, Wisconsin",78981
"Marathon County, Wisconsin",135692
"Milwaukee County, Wisconsin",945726
"Outagamie County, Wisconsin",187885
"Ozaukee County, Wisconsin",89221
"Portage County, Wisconsin",70772
"Racine County, Wisconsin",196311
"Rock County, Wisconsin",163354
"St. Croix County, Wisconsin",90687
"Sheboygan County, Wisconsin",115340
"Walworth County, Wisconsin",103868
"Washington County, Wisconsin",136034
"Waukesha County, Wisconsin",404198
"Winnebago County, Wisconsin",171907
"Wood County, Wisconsin",72999
"Laramie County, Wyoming",99500
"Natrona County, Wyoming",79858
"Arecibo Municipio, Puerto Rico",81966
"BayamÃ³n Municipio, Puerto Rico",169269
"Caguas Municipio, Puerto Rico",124606
"Carolina Municipio, Puerto Rico",146984
"Guaynabo Municipio, Puerto Rico",83728
"MayagÃ¼ez Municipio, Puerto Rico",71530
"Ponce Municipio, Puerto Rico",131881
"San Juan Municipio, Puerto Rico",318441
"Toa Alta Municipio, Puerto Rico",72025
"Toa Baja Municipio, Puerto Rico",74271
"Trujillo Alto Municipio, Puerto Rico",63674
