state,county,UninsuredPerc,fair-or-poor-health-perc
Alabama,Autauga,8.7,21
Alabama,Baldwin,11.3,18
Alabama,Barbour,12.2,30
Alabama,Bibb,10.2,19
Alabama,Blount,13.4,22
Alabama,Bullock,11.4,31
Alabama,Butler,11.2,28
Alabama,Calhoun,11.9,23
Alabama,Chambers,11.9,24
Alabama,Cherokee,11.2,21
Alabama,Chilton,13.8,21
Alabama,Choctaw,11.3,25
Alabama,Clarke,11.9,25
Alabama,Clay,13.9,24
Alabama,Cleburne,13.3,19
Alabama,Coffee,12.0,19
Alabama,Colbert,9.7,21
Alabama,Conecuh,12.0,29
Alabama,Coosa,13.0,25
Alabama,Covington,12.1,23
Alabama,Crenshaw,12.3,22
Alabama,Cullman,12.7,22
Alabama,Dale,9.7,23
Alabama,Dallas,10.4,30
Alabama,DeKalb,17.3,26
Alabama,Elmore,8.7,19
Alabama,Escambia,14.4,26
Alabama,Etowah,12.5,21
Alabama,Fayette,11.5,22
Alabama,Franklin,15.3,25
Alabama,Geneva,14.1,23
Alabama,Greene,11.4,34
Alabama,Hale,10.6,28
Alabama,Henry,12.2,21
Alabama,Houston,11.1,20
Alabama,Jackson,13.1,23
Alabama,Jefferson,10.0,20
Alabama,Lamar,11.5,24
Alabama,Lauderdale,11.3,20
Alabama,Lawrence,14.0,22
Alabama,Lee,10.4,21
Alabama,Limestone,11.0,20
Alabama,Lowndes,10.8,30
Alabama,Macon,10.6,30
Alabama,Madison,9.4,19
Alabama,Marengo,9.8,26
Alabama,Marion,11.4,22
Alabama,Marshall,15.6,22
Alabama,Mobile,11.7,22
Alabama,Monroe,12.8,30
Alabama,Montgomery,11.0,24
Alabama,Morgan,11.6,21
Alabama,Perry,11.5,35
Alabama,Pickens,11.6,27
Alabama,Pike,12.9,25
Alabama,Randolph,13.2,21
Alabama,Russell,11.3,25
Alabama,St. Clair,10.0,19
Alabama,Shelby,7.9,16
Alabama,Sumter,11.4,34
Alabama,Talladega,10.3,23
Alabama,Tallapoosa,11.9,23
Alabama,Tuscaloosa,9.3,20
Alabama,Walker,11.7,24
Alabama,Washington,13.9,23
Alabama,Wilcox,10.5,29
Alabama,Winston,12.8,21
Alaska,Aleutians East,27.9,17
Alaska,Aleutians West,20.2,15
Alaska,Anchorage,12.7,15
Alaska,Bethel,19.8,24
Alaska,Bristol Bay,17.4,15
Alaska,Denali,14.0,13
Alaska,Dillingham,17.4,23
Alaska,Fairbanks North Star,13.2,12
Alaska,Haines,18.0,13
Alaska,Hoonah-Angoon,22.9,17
Alaska,Juneau,13.4,11
Alaska,Kenai Peninsula,16.0,15
Alaska,Ketchikan Gateway,17.2,14
Alaska,Kodiak Island,18.4,13
Alaska,Kusilvak,17.7,37
Alaska,Lake and Peninsula,25.3,22
Alaska,Matanuska-Susitna,14.8,13
Alaska,Nome,21.2,25
Alaska,North Slope,17.8,16
Alaska,Northwest Arctic,24.1,24
Alaska,Petersburg,18.7,12
Alaska,Prince of Wales-Hyder,23.2,18
Alaska,Sitka,18.3,13
Alaska,Skagway,14.1,12
Alaska,Southeast Fairbanks,21.1,15
Alaska,Valdez-Cordova,14.9,12
Alaska,Wrangell,18.9,15
Alaska,Yakutat,18.6,16
Alaska,Yukon-Koyukuk,24.1,23
Arizona,Apache,19.2,26
Arizona,Cochise,10.5,18
Arizona,Coconino,13.1,16
Arizona,Gila,13.5,19
Arizona,Graham,10.0,19
Arizona,Greenlee,8.6,18
Arizona,La Paz,19.8,22
Arizona,Maricopa,12.1,16
Arizona,Mohave,13.4,19
Arizona,Navajo,15.1,24
Arizona,Pima,10.9,17
Arizona,Pinal,11.0,20
Arizona,Santa Cruz,14.0,27
Arizona,Yavapai,12.9,15
Arizona,Yuma,14.2,23
Arkansas,Arkansas,8.9,23
Arkansas,Ashley,9.2,24
Arkansas,Baxter,8.4,19
Arkansas,Benton,10.4,16
Arkansas,Boone,8.6,21
Arkansas,Bradley,11.6,28
Arkansas,Calhoun,8.3,24
Arkansas,Carroll,12.8,22
Arkansas,Chicot,8.9,30
Arkansas,Clark,7.2,24
Arkansas,Clay,8.7,23
Arkansas,Cleburne,9.1,20
Arkansas,Cleveland,8.9,22
Arkansas,Columbia,8.3,27
Arkansas,Conway,8.5,22
Arkansas,Craighead,7.9,23
Arkansas,Crawford,9.9,20
Arkansas,Crittenden,8.0,26
Arkansas,Cross,8.8,24
Arkansas,Dallas,8.1,23
Arkansas,Desha,9.5,32
Arkansas,Drew,8.4,25
Arkansas,Faulkner,8.0,21
Arkansas,Franklin,9.4,22
Arkansas,Fulton,9.6,22
Arkansas,Garland,9.8,20
Arkansas,Grant,6.1,20
Arkansas,Greene,7.0,20
Arkansas,Hempstead,10.8,27
Arkansas,Hot Spring,7.6,20
Arkansas,Howard,11.6,26
Arkansas,Independence,8.1,23
Arkansas,Izard,10.4,20
Arkansas,Jackson,8.7,25
Arkansas,Jefferson,7.2,26
Arkansas,Johnson,10.6,24
Arkansas,Lafayette,10.6,25
Arkansas,Lawrence,8.3,21
Arkansas,Lee,8.6,29
Arkansas,Lincoln,9.4,25
Arkansas,Little River,9.0,24
Arkansas,Logan,9.6,22
Arkansas,Lonoke,7.1,19
Arkansas,Madison,11.5,22
Arkansas,Marion,9.7,20
Arkansas,Miller,8.1,23
Arkansas,Mississippi,7.6,27
Arkansas,Monroe,8.5,28
Arkansas,Montgomery,11.4,22
Arkansas,Nevada,8.4,26
Arkansas,Newton,9.6,22
Arkansas,Ouachita,7.0,27
Arkansas,Perry,8.9,20
Arkansas,Phillips,7.3,33
Arkansas,Pike,12.0,22
Arkansas,Poinsett,9.5,24
Arkansas,Polk,13.0,24
Arkansas,Pope,10.5,22
Arkansas,Prairie,9.2,22
Arkansas,Pulaski,7.7,19
Arkansas,Randolph,8.9,22
Arkansas,St. Francis,8.5,28
Arkansas,Saline,7.5,15
Arkansas,Scott,11.7,23
Arkansas,Searcy,10.0,22
Arkansas,Sebastian,12.9,21
Arkansas,Sevier,17.7,29
Arkansas,Sharp,10.5,26
Arkansas,Stone,11.9,23
Arkansas,Union,8.9,23
Arkansas,Van Buren,9.8,21
Arkansas,Washington,12.4,20
Arkansas,White,8.5,20
Arkansas,Woodruff,9.7,26
Arkansas,Yell,12.0,25
California,Alameda,5.8,12
California,Alpine,7.6,16
California,Amador,6.2,13
California,Butte,7.2,17
California,Calaveras,7.3,12
California,Colusa,10.7,19
California,Contra Costa,5.9,12
California,Del Norte,6.2,18
California,El Dorado,5.4,12
California,Fresno,8.7,24
California,Glenn,11.0,18
California,Humboldt,8.9,16
California,Imperial,7.9,25
California,Inyo,9.0,15
California,Kern,8.6,23
California,Kings,9.0,21
California,Lake,9.2,18
California,Lassen,4.8,15
California,Los Angeles,10.1,16
California,Madera,10.4,23
California,Marin,5.4,11
California,Mariposa,8.0,14
California,Mendocino,10.7,17
California,Merced,8.7,23
California,Modoc,10.5,16
California,Mono,10.0,14
California,Monterey,11.5,22
California,Napa,8.5,14
California,Nevada,7.0,12
California,Orange,8.3,14
California,Placer,4.3,11
California,Plumas,6.9,14
California,Riverside,8.9,17
California,Sacramento,6.4,16
California,San Benito,8.1,17
California,San Bernardino,8.3,20
California,San Diego,8.4,14
California,San Francisco,5.0,11
California,San Joaquin,7.6,17
California,San Luis Obispo,7.3,13
California,San Mateo,5.4,12
California,Santa Barbara,10.5,17
California,Santa Clara,5.1,12
California,Santa Cruz,7.4,15
California,Shasta,7.1,14
California,Sierra,7.8,14
California,Siskiyou,8.6,16
California,Solano,5.7,15
California,Sonoma,7.6,14
California,Stanislaus,7.0,18
California,Sutter,8.6,17
California,Tehama,7.8,18
California,Trinity,8.7,16
California,Tulare,8.8,26
California,Tuolumne,6.4,13
California,Ventura,9.3,15
California,Yolo,6.0,16
California,Yuba,7.4,16
Colorado,Adams,11.0,17
Colorado,Alamosa,13.2,23
Colorado,Arapahoe,8.5,12
Colorado,Archuleta,12.9,14
Colorado,Baca,15.8,16
Colorado,Bent,10.4,20
Colorado,Boulder,6.8,12
Colorado,Broomfield,4.8,10
Colorado,Chaffee,10.2,13
Colorado,Cheyenne,14.9,13
Colorado,Clear Creek,5.5,10
Colorado,Conejos,10.7,23
Colorado,Costilla,14.9,28
Colorado,Crowley,11.1,19
Colorado,Custer,12.6,13
Colorado,Delta,10.7,16
Colorado,Denver,10.7,15
Colorado,Dolores,11.7,15
Colorado,Douglas,3.8,8
Colorado,Eagle,12.2,12
Colorado,Elbert,7.8,11
Colorado,El Paso,7.6,13
Colorado,Fremont,9.1,16
Colorado,Garfield,13.8,13
Colorado,Gilpin,4.3,10
Colorado,Grand,10.6,12
Colorado,Gunnison,10.5,13
Colorado,Hinsdale,10.5,12
Colorado,Huerfano,7.9,17
Colorado,Jackson,13.6,14
Colorado,Jefferson,6.8,9
Colorado,Kiowa,11.3,13
Colorado,Kit Carson,14.9,14
Colorado,Lake,11.7,16
Colorado,La Plata,11.6,12
Colorado,Larimer,7.4,12
Colorado,Las Animas,12.2,20
Colorado,Lincoln,9.5,14
Colorado,Logan,10.5,15
Colorado,Mesa,9.5,14
Colorado,Mineral,9.9,12
Colorado,Moffat,9.9,13
Colorado,Montezuma,13.8,15
Colorado,Montrose,12.2,16
Colorado,Morgan,12.4,17
Colorado,Otero,10.8,20
Colorado,Ouray,8.7,11
Colorado,Park,8.7,11
Colorado,Phillips,13.2,14
Colorado,Pitkin,12.3,11
Colorado,Prowers,14.1,17
Colorado,Pueblo,8.4,23
Colorado,Rio Blanco,9.2,13
Colorado,Rio Grande,13.6,17
Colorado,Routt,8.5,11
Colorado,Saguache,16.9,21
Colorado,San Juan,8.6,15
Colorado,San Miguel,11.8,12
Colorado,Sedgwick,12.1,15
Colorado,Summit,11.1,11
Colorado,Teller,8.2,10
Colorado,Washington,9.6,13
Colorado,Weld,9.4,14
Colorado,Yuma,13.4,15
Connecticut,Fairfield,8.9,11
Connecticut,Hartford,5.4,13
Connecticut,Litchfield,5.1,11
Connecticut,Middlesex,4.1,10
Connecticut,New Haven,5.7,14
Connecticut,New London,5.0,12
Connecticut,Tolland,3.7,10
Connecticut,Windham,5.6,13
Delaware,Kent,6.4,19
Delaware,New Castle,5.6,17
Delaware,Sussex,7.2,18
District of Columbia,District of Columbia,4.3,13
Florida,Alachua,11.9,18
Florida,Baker,12.0,20
Florida,Bay,14.8,20
Florida,Bradford,13.3,23
Florida,Brevard,13.0,18
Florida,Broward,16.9,18
Florida,Calhoun,15.2,24
Florida,Charlotte,17.1,16
Florida,Citrus,15.4,18
Florida,Clay,11.4,18
Florida,Collier,22.8,18
Florida,Columbia,12.4,23
Florida,DeSoto,23.1,26
Florida,Dixie,15.8,24
Florida,Duval,13.2,19
Florida,Escambia,11.4,19
Florida,Flagler,14.7,17
Florida,Franklin,17.7,19
Florida,Gadsden,16.3,26
Florida,Gilchrist,15.5,21
Florida,Glades,25.9,21
Florida,Gulf,13.5,21
Florida,Hamilton,15.1,26
Florida,Hardee,20.0,27
Florida,Hendry,26.9,29
Florida,Hernando,15.8,19
Florida,Highlands,18.5,21
Florida,Hillsborough,14.3,20
Florida,Holmes,15.7,24
Florida,Indian River,16.9,17
Florida,Jackson,15.2,23
Florida,Jefferson,13.6,20
Florida,Lafayette,19.8,21
Florida,Lake,15.5,17
Florida,Lee,18.6,18
Florida,Leon,10.8,16
Florida,Levy,18.0,23
Florida,Liberty,14.7,25
Florida,Madison,14.2,24
Florida,Manatee,16.1,17
Florida,Marion,15.4,21
Florida,Martin,17.0,15
Florida,Miami-Dade,20.0,24
Florida,Monroe,20.3,16
Florida,Nassau,12.5,15
Florida,Okaloosa,13.5,15
Florida,Okeechobee,22.5,24
Florida,Orange,15.7,19
Florida,Osceola,16.2,24
Florida,Palm Beach,17.4,17
Florida,Pasco,14.9,18
Florida,Pinellas,14.3,17
Florida,Polk,15.8,21
Florida,Putnam,17.2,25
Florida,St. Johns,10.6,13
Florida,St. Lucie,16.9,19
Florida,Santa Rosa,12.5,17
Florida,Sarasota,16.3,13
Florida,Seminole,10.1,16
Florida,Sumter,11.9,14
Florida,Suwannee,17.2,24
Florida,Taylor,14.9,24
Florida,Union,12.7,22
Florida,Volusia,14.6,18
Florida,Wakulla,12.4,17
Florida,Walton,17.6,22
Florida,Washington,16.6,23
Georgia,Appling,19.1,22
Georgia,Atkinson,22.4,27
Georgia,Bacon,19.4,20
Georgia,Baker,19.2,20
Georgia,Baldwin,15.9,24
Georgia,Banks,19.3,17
Georgia,Barrow,16.9,17
Georgia,Bartow,17.9,17
Georgia,Ben Hill,16.3,24
Georgia,Berrien,18.9,19
Georgia,Bibb,14.4,21
Georgia,Bleckley,13.8,19
Georgia,Brantley,18.2,20
Georgia,Brooks,19.4,22
Georgia,Bryan,12.2,16
Georgia,Bulloch,16.8,21
Georgia,Burke,15.2,24
Georgia,Butts,15.0,20
Georgia,Calhoun,18.0,28
Georgia,Camden,13.5,17
Georgia,Candler,20.8,26
Georgia,Carroll,16.0,19
Georgia,Catoosa,12.7,15
Georgia,Charlton,15.7,20
Georgia,Chatham,16.2,18
Georgia,Chattahoochee,12.1,20
Georgia,Chattooga,16.6,19
Georgia,Cherokee,12.8,15
Georgia,Clarke,16.3,23
Georgia,Clay,15.4,32
Georgia,Clayton,18.8,23
Georgia,Clinch,16.6,27
Georgia,Cobb,13.8,14
Georgia,Coffee,19.4,21
Georgia,Colquitt,23.6,24
Georgia,Columbia,11.3,13
Georgia,Cook,18.4,21
Georgia,Coweta,12.5,15
Georgia,Crawford,16.6,19
Georgia,Crisp,16.6,26
Georgia,Dade,14.9,16
Georgia,Dawson,17.2,14
Georgia,Decatur,17.7,20
Georgia,DeKalb,15.9,16
Georgia,Dodge,16.6,21
Georgia,Dooly,18.4,24
Georgia,Dougherty,14.4,25
Georgia,Douglas,14.2,18
Georgia,Early,14.7,25
Georgia,Echols,27.6,22
Georgia,Effingham,13.6,14
Georgia,Elbert,17.6,20
Georgia,Emanuel,16.0,24
Georgia,Evans,17.1,22
Georgia,Fannin,18.3,17
Georgia,Fayette,10.5,13
Georgia,Floyd,17.9,19
Georgia,Forsyth,11.7,13
Georgia,Franklin,18.8,19
Georgia,Fulton,13.0,15
Georgia,Gilmer,22.5,17
Georgia,Glascock,14.9,17
Georgia,Glynn,17.4,18
Georgia,Gordon,21.4,19
Georgia,Grady,20.8,21
Georgia,Greene,20.1,21
Georgia,Gwinnett,18.4,16
Georgia,Habersham,19.3,18
Georgia,Hall,21.7,18
Georgia,Hancock,15.9,27
Georgia,Haralson,15.2,16
Georgia,Harris,10.7,13
Georgia,Hart,18.1,19
Georgia,Heard,15.2,18
Georgia,Henry,12.8,17
Georgia,Houston,13.6,19
Georgia,Irwin,14.5,22
Georgia,Jackson,15.7,15
Georgia,Jasper,17.5,20
Georgia,Jeff Davis,18.8,21
Georgia,Jefferson,16.3,24
Georgia,Jenkins,15.7,26
Georgia,Johnson,16.2,20
Georgia,Jones,12.9,17
Georgia,Lamar,14.8,19
Georgia,Lanier,16.4,21
Georgia,Laurens,15.0,24
Georgia,Lee,12.8,15
Georgia,Liberty,12.1,22
Georgia,Lincoln,16.5,19
Georgia,Long,16.4,20
Georgia,Lowndes,17.3,21
Georgia,Lumpkin,19.9,17
Georgia,McDuffie,15.1,21
Georgia,McIntosh,16.4,19
Georgia,Macon,19.2,26
Georgia,Madison,18.3,18
Georgia,Marion,17.1,21
Georgia,Meriwether,16.2,22
Georgia,Miller,16.5,20
Georgia,Mitchell,17.6,23
Georgia,Monroe,13.8,15
Georgia,Montgomery,16.9,18
Georgia,Morgan,15.9,15
Georgia,Murray,20.5,19
Georgia,Muscogee,13.5,21
Georgia,Newton,14.8,18
Georgia,Oconee,11.8,13
Georgia,Oglethorpe,18.9,17
Georgia,Paulding,12.8,15
Georgia,Peach,17.3,20
Georgia,Pickens,17.5,13
Georgia,Pierce,16.0,18
Georgia,Pike,14.4,14
Georgia,Polk,19.1,20
Georgia,Pulaski,15.7,21
Georgia,Putnam,18.7,19
Georgia,Quitman,17.2,23
Georgia,Rabun,21.3,18
Georgia,Randolph,15.9,28
Georgia,Richmond,14.2,21
Georgia,Rockdale,15.5,21
Georgia,Schley,15.1,20
Georgia,Screven,16.2,22
Georgia,Seminole,16.3,21
Georgia,Spalding,15.7,21
Georgia,Stephens,15.8,18
Georgia,Stewart,17.9,33
Georgia,Sumter,17.2,25
Georgia,Talbot,15.2,21
Georgia,Taliaferro,19.8,26
Georgia,Tattnall,19.0,22
Georgia,Taylor,15.9,24
Georgia,Telfair,16.3,25
Georgia,Terrell,18.2,26
Georgia,Thomas,16.1,20
Georgia,Tift,17.8,22
Georgia,Toombs,18.6,23
Georgia,Towns,17.3,15
Georgia,Treutlen,16.1,20
Georgia,Troup,14.7,19
Georgia,Turner,18.4,22
Georgia,Twiggs,17.2,23
Georgia,Union,18.7,14
Georgia,Upson,13.8,20
Georgia,Walker,15.2,18
Georgia,Walton,13.5,17
Georgia,Ware,15.6,22
Georgia,Warren,15.6,24
Georgia,Washington,15.2,23
Georgia,Wayne,14.5,20
Georgia,Webster,16.3,20
Georgia,Wheeler,15.7,25
Georgia,White,17.2,15
Georgia,Whitfield,23.0,23
Georgia,Wilcox,17.3,22
Georgia,Wilkes,17.8,24
Georgia,Wilkinson,13.4,21
Georgia,Worth,17.1,20
Hawaii,Hawaii,6.4,14
Hawaii,Honolulu,4.1,13
Hawaii,Kauai,4.8,12
Hawaii,Maui,5.4,13
Idaho,Ada,8.7,11
Idaho,Adams,14.4,15
Idaho,Bannock,10.7,15
Idaho,Bear Lake,10.2,14
Idaho,Benewah,14.2,16
Idaho,Bingham,14.8,16
Idaho,Blaine,17.7,14
Idaho,Boise,13.3,13
Idaho,Bonner,13.3,13
Idaho,Bonneville,9.5,15
Idaho,Boundary,18.2,15
Idaho,Butte,12.3,14
Idaho,Camas,17.5,17
Idaho,Canyon,14.6,17
Idaho,Caribou,9.1,13
Idaho,Cassia,15.5,16
Idaho,Clark,26.2,25
Idaho,Clearwater,12.5,14
Idaho,Custer,13.8,15
Idaho,Elmore,13.5,16
Idaho,Franklin,11.8,13
Idaho,Fremont,14.0,16
Idaho,Gem,14.2,16
Idaho,Gooding,19.7,17
Idaho,Idaho,15.9,17
Idaho,Jefferson,12.5,13
Idaho,Jerome,20.5,17
Idaho,Kootenai,10.1,14
Idaho,Latah,9.3,14
Idaho,Lemhi,12.4,15
Idaho,Lewis,14.4,17
Idaho,Lincoln,17.6,18
Idaho,Madison,8.6,17
Idaho,Minidoka,17.5,19
Idaho,Nez Perce,10.6,14
Idaho,Oneida,11.9,13
Idaho,Owyhee,23.2,20
Idaho,Payette,14.1,17
Idaho,Power,16.9,19
Idaho,Shoshone,13.6,15
Idaho,Teton,16.5,13
Idaho,Twin Falls,14.0,15
Idaho,Valley,11.8,12
Idaho,Washington,16.4,18
Illinois,Adams,5.2,15
Illinois,Alexander,6.4,24
Illinois,Bond,6.6,16
Illinois,Boone,7.5,16
Illinois,Brown,3.6,16
Illinois,Bureau,6.1,15
Illinois,Calhoun,6.0,14
Illinois,Carroll,7.0,14
Illinois,Cass,8.5,17
Illinois,Champaign,6.1,16
Illinois,Christian,6.0,14
Illinois,Clark,5.9,15
Illinois,Clay,6.2,15
Illinois,Clinton,4.8,13
Illinois,Coles,6.9,18
Illinois,Cook,10.0,17
Illinois,Crawford,5.9,14
Illinois,Cumberland,6.5,14
Illinois,DeKalb,6.3,16
Illinois,De Witt,5.2,14
Illinois,Douglas,9.3,15
Illinois,DuPage,6.4,13
Illinois,Edgar,6.0,15
Illinois,Edwards,5.8,14
Illinois,Effingham,5.6,14
Illinois,Fayette,7.2,17
Illinois,Ford,6.2,15
Illinois,Franklin,6.8,17
Illinois,Fulton,6.4,16
Illinois,Gallatin,6.6,17
Illinois,Greene,6.4,15
Illinois,Grundy,5.0,14
Illinois,Hamilton,5.7,15
Illinois,Hancock,5.6,14
Illinois,Hardin,7.3,18
Illinois,Henderson,7.5,14
Illinois,Henry,6.2,14
Illinois,Iroquois,7.7,16
Illinois,Jackson,7.7,19
Illinois,Jasper,5.8,14
Illinois,Jefferson,5.9,17
Illinois,Jersey,5.0,14
Illinois,Jo Daviess,7.1,13
Illinois,Johnson,5.9,16
Illinois,Kane,9.1,16
Illinois,Kankakee,6.7,16
Illinois,Kendall,5.3,13
Illinois,Knox,5.8,18
Illinois,Lake,7.1,14
Illinois,LaSalle,5.9,15
Illinois,Lawrence,6.8,17
Illinois,Lee,5.8,15
Illinois,Livingston,5.7,15
Illinois,Logan,5.3,14
Illinois,McDonough,7.1,17
Illinois,McHenry,6.0,13
Illinois,McLean,5.1,15
Illinois,Macon,5.5,16
Illinois,Macoupin,6.0,14
Illinois,Madison,4.9,15
Illinois,Marion,6.2,17
Illinois,Marshall,5.9,13
Illinois,Mason,6.3,15
Illinois,Massac,6.1,16
Illinois,Menard,5.4,13
Illinois,Mercer,5.3,14
Illinois,Monroe,3.7,12
Illinois,Montgomery,6.0,15
Illinois,Morgan,5.2,16
Illinois,Moultrie,8.0,15
Illinois,Ogle,6.6,15
Illinois,Peoria,6.3,16
Illinois,Perry,5.7,15
Illinois,Piatt,4.7,12
Illinois,Pike,7.1,17
Illinois,Pope,7.5,15
Illinois,Pulaski,7.5,21
Illinois,Putnam,5.8,13
Illinois,Randolph,5.5,16
Illinois,Richland,6.3,17
Illinois,Rock Island,6.7,17
Illinois,St. Clair,6.2,18
Illinois,Saline,7.1,18
Illinois,Sangamon,5.5,16
Illinois,Schuyler,6.8,16
Illinois,Scott,5.0,15
Illinois,Shelby,5.1,15
Illinois,Stark,6.3,15
Illinois,Stephenson,6.3,17
Illinois,Tazewell,4.6,13
Illinois,Union,7.3,17
Illinois,Vermilion,6.5,18
Illinois,Wabash,6.0,15
Illinois,Warren,7.7,16
Illinois,Washington,5.3,14
Illinois,Wayne,6.7,15
Illinois,White,6.1,15
Illinois,Whiteside,6.0,15
Illinois,Will,6.3,15
Illinois,Williamson,5.4,15
Illinois,Winnebago,7.4,18
Illinois,Woodford,4.5,13
Indiana,Adams,11.6,19
Indiana,Allen,9.7,18
Indiana,Bartholomew,9.9,16
Indiana,Benton,11.3,19
Indiana,Blackford,8.6,19
Indiana,Boone,6.7,14
Indiana,Brown,10.5,17
Indiana,Carroll,10.2,18
Indiana,Cass,13.2,20
Indiana,Clark,8.6,20
Indiana,Clay,8.4,19
Indiana,Clinton,11.7,20
Indiana,Crawford,11.5,22
Indiana,Daviess,17.9,19
Indiana,Dearborn,7.3,16
Indiana,Decatur,8.1,17
Indiana,DeKalb,8.3,17
Indiana,Delaware,9.0,21
Indiana,Dubois,8.9,16
Indiana,Elkhart,14.2,20
Indiana,Fayette,9.6,22
Indiana,Floyd,6.9,17
Indiana,Fountain,8.6,18
Indiana,Franklin,8.9,16
Indiana,Fulton,11.4,18
Indiana,Gibson,6.7,17
Indiana,Grant,8.6,23
Indiana,Greene,8.9,18
Indiana,Hamilton,6.1,11
Indiana,Hancock,6.0,15
Indiana,Harrison,8.2,17
Indiana,Hendricks,6.6,15
Indiana,Henry,8.0,21
Indiana,Howard,8.3,18
Indiana,Huntington,7.9,17
Indiana,Jackson,10.0,21
Indiana,Jasper,9.6,17
Indiana,Jay,9.5,20
Indiana,Jefferson,9.1,18
Indiana,Jennings,8.8,21
Indiana,Johnson,7.9,16
Indiana,Knox,8.5,19
Indiana,Kosciusko,11.8,17
Indiana,LaGrange,24.9,17
Indiana,Lake,9.7,21
Indiana,LaPorte,8.8,18
Indiana,Lawrence,8.5,18
Indiana,Madison,9.1,21
Indiana,Marion,11.7,19
Indiana,Marshall,12.8,18
Indiana,Martin,9.4,18
Indiana,Miami,10.0,21
Indiana,Monroe,9.2,17
Indiana,Montgomery,9.8,17
Indiana,Morgan,8.2,18
Indiana,Newton,12.2,20
Indiana,Noble,10.4,17
Indiana,Ohio,7.4,14
Indiana,Orange,10.0,20
Indiana,Owen,11.3,19
Indiana,Parke,11.8,19
Indiana,Perry,8.1,19
Indiana,Pike,9.0,19
Indiana,Porter,7.5,16
Indiana,Posey,6.4,16
Indiana,Pulaski,10.0,18
Indiana,Putnam,8.2,16
Indiana,Randolph,9.6,19
Indiana,Ripley,9.2,18
Indiana,Rush,10.3,19
Indiana,St. Joseph,10.2,19
Indiana,Scott,8.6,19
Indiana,Shelby,8.5,18
Indiana,Spencer,8.5,17
Indiana,Starke,9.8,20
Indiana,Steuben,9.6,16
Indiana,Sullivan,9.4,20
Indiana,Switzerland,11.5,22
Indiana,Tippecanoe,9.9,19
Indiana,Tipton,8.4,17
Indiana,Union,9.2,18
Indiana,Vanderburgh,8.5,19
Indiana,Vermillion,8.1,17
Indiana,Vigo,9.1,20
Indiana,Wabash,9.2,19
Indiana,Warren,7.3,16
Indiana,Warrick,7.2,16
Indiana,Washington,10.5,18
Indiana,Wayne,11.0,20
Indiana,Wells,8.0,18
Indiana,White,11.0,17
Indiana,Whitley,8.6,16
Iowa,Adair,5.5,14
Iowa,Adams,6.2,12
Iowa,Allamakee,7.9,15
Iowa,Appanoose,6.3,16
Iowa,Audubon,6.7,13
Iowa,Benton,5.0,12
Iowa,Black Hawk,5.3,14
Iowa,Boone,4.2,14
Iowa,Bremer,3.9,12
Iowa,Buchanan,5.3,12
Iowa,Buena Vista,11.3,16
Iowa,Butler,5.2,12
Iowa,Calhoun,5.6,15
Iowa,Carroll,4.4,12
Iowa,Cass,6.8,15
Iowa,Cedar,4.3,11
Iowa,Cerro Gordo,4.6,14
Iowa,Cherokee,6.0,14
Iowa,Chickasaw,6.4,14
Iowa,Clarke,6.4,16
Iowa,Clay,5.6,13
Iowa,Clayton,6.2,13
